id	name
0	R2-D2
1	CHEWBACCA
2	C-3PO
3	LUKE
4	DARTH VADER
5	CAMIE
6	BIGGS
7	LEIA
8	BERU
9	OWEN
10	OBI-WAN
11	MOTTI
12	TARKIN
13	HAN
14	GREEDO
15	JABBA
16	DODONNA
17	GOLD LEADER
18	WEDGE
19	RED LEADER
20	RED TEN
21	GOLD FIVE
