id	name
0	LUKE
1	R2-D2
2	CHEWBACCA
3	BB-8
4	LOR SAN TEKKA
5	POE
6	KYLO REN
7	CAPTAIN PHASMA
8	FINN
9	UNKAR PLUTT
10	REY
11	GENERAL HUX
12	LIEUTENANT MITAKA
13	HAN
14	BALA-TIK
15	SNOKE
16	MAZ
17	C-3PO
18	LEIA
19	SNAP
20	ADMIRAL ACKBAR
21	ADMIRAL STATURA
22	YOLO ZIFF
23	COLONEL DATOO
24	ELLO ASTY
25	JESS
26	NIV LEK
