source	target	weight
15	0	11
1	0	14
18	0	16
0	17	3
22	0	2
24	0	2
2	1	1
3	4	1
5	4	1
1	4	1
5	1	26
2	4	1
6	2	1
6	4	1
2	7	8
7	8	2
2	8	1
10	9	3
9	11	1
10	11	3
12	1	22
12	5	12
12	13	2
14	1	2
14	5	2
14	12	2
9	2	5
9	7	3
2	11	2
12	11	1
10	12	7
1	11	2
10	1	9
10	15	7
15	1	16
15	11	1
10	5	7
5	16	3
12	16	1
1	16	2
10	16	2
12	15	9
1	17	6
18	17	4
15	17	3
18	1	22
18	15	16
12	19	2
18	19	2
1	19	2
15	19	2
18	12	8
18	20	2
20	1	2
20	15	1
18	21	7
12	21	3
1	21	8
15	21	5
18	22	3
22	15	2
5	11	1
23	9	3
18	24	3
18	25	2
24	25	1
12	24	1
24	1	2
12	25	1
1	25	2
18	5	5
5	21	1
22	17	1
24	17	1
22	1	1
22	24	1
24	15	1
26	27	1
27	21	1
19	21	1
18	27	1
27	12	1
27	15	1
27	19	1
27	1	1
26	12	2
26	15	1
28	1	1
18	28	1
28	25	1
24	21	1
18	10	2
18	16	4
9	29	2
9	12	2
9	1	1
12	29	1
1	29	1
30	1	2
31	1	2
1	32	2
1	33	1
31	30	3
30	32	4
18	30	3
30	33	1
31	32	3
18	31	2
31	33	1
18	32	3
33	32	1
18	33	1
34	9	1
34	29	1
5	32	3
30	5	2
31	5	1
14	15	2
23	2	3
18	14	1
14	10	1
5	15	1
9	35	1
35	2	1
23	35	1
23	7	1
36	16	4
18	36	2
35	12	1
2	15	1
6	8	1
37	36	2
37	16	2
18	37	1
9	15	1
