id	name
0	R2-D2
1	CAPTAIN TYPHO
2	EMPEROR
3	SENATOR ASK AAK
4	ORN FREE TAA
5	MACE WINDU
6	YODA
7	KI-ADI-MUNDI
8	BAIL ORGANA
9	JAR JAR
10	OBI-WAN
11	ANAKIN
12	PADME
13	PK-4
14	SIO BIBBLE
15	SOLA
16	JOBAL
17	RUWEE
18	TAUN WE
19	LAMA SU
20	BOBA FETT
21	JANGO FETT
22	WATTO
23	C-3PO
24	OWEN
25	BERU
26	CLIEGG
27	SHMI
28	COUNT DOOKU
29	SUN RIT
30	POGGLE
31	NUTE GUNRAY
32	PLO KOON
