id	name
0	R2-D2
1	CHEWBACCA
2	LUKE
3	HAN
4	RIEEKAN
5	LEIA
6	C-3PO
7	DERLIN
8	OBI-WAN
9	ZEV
10	PIETT
11	OZZEL
12	DARTH VADER
13	DACK
14	WEDGE
15	JANSON
16	NEEDA
17	EMPEROR
18	YODA
19	BOBA FETT
20	LANDO
