id	name
0	R2-D2
1	CHEWBACCA
2	JERJERROD
3	DARTH VADER
4	C-3PO
5	BIB FORTUNA
6	JABBA
7	LUKE
8	BOUSHH
9	HAN
10	LEIA
11	LANDO
12	EMPEROR
13	YODA
14	OBI-WAN
15	MON MOTHMA
16	ADMIRAL ACKBAR
17	PIETT
18	WEDGE
19	ANAKIN
