id	name
0	R2-D2
1	ANAKIN
2	OBI-WAN
3	ODD BALL
4	GENERAL GRIEVOUS
5	EMPEROR
6	COUNT DOOKU
7	BAIL ORGANA
8	C-3PO
9	PADME
10	YODA
11	FANG ZAR
12	MON MOTHMA
13	GIDDEAN DANU
14	MACE WINDU
15	CAPTAIN TYPHO
16	CLONE COMMANDER GREE
17	CLONE COMMANDER CODY
18	JAR JAR
19	TION MEDON
20	NUTE GUNRAY
21	PLO KOON
22	CAPTAIN ANTILLES
23	DARTH VADER
24	QUI-GON
