station_no	station_name
291	문래동 하이테크 시티
292	영일 어린이공원
293	충북 미래관
295	영등포공원 분수대 앞
296	KT플라자 영등포점
297	국회3문
298	KBS 연구동 건너편
299	여의도 순복음교회
300	정동사거리
301	경복궁역 7번출구 앞
302	경복궁역 4번출구 뒤
303	광화문역 1번출구 앞
304	광화문역 2번출구 앞
305	종로구청 옆
306	광화문역 7번출구 앞
307	서울역사박물관 앞
308	광화문 S타워 앞
309	광화문역 6번출구 옆
310	청계광장 옆
311	서울광장 옆
314	국립현대미술관
316	종각역 1번출구 앞
318	광교사거리 남측
320	을지로입구역 4번출구 앞
321	KEB 하나금융그룹 명동사옥 옆
322	명동성당 앞
324	신세계백화점 본점 앞
326	안국역 5번출구 앞
327	낙원상가 옆
328	탑골공원 앞
329	청계2가 사거리 옆
331	을지로2가 사거리 북측
332	을지로2가 사거리 남측
334	종로3가역 2번출구 뒤
335	종로3가역 15번출구 앞
336	티마크 호텔 앞
337	창경궁 입구
338	세운스퀘어 앞
339	종로4가 사거리
340	혜화동 로터리
341	혜화역 3번출구 뒤
342	대학로 마로니에공원
343	예일빌딩(율곡로) 앞
344	성균관대 E하우스 앞
345	서울보증보험본사 앞
346	맥스타일 앞
347	동대문역사문화공원역 9번출구 앞
348	독립문역 사거리
349	사직동주민센터
351	청운초교 앞 삼거리
352	중앙고입구 삼거리
353	재동초교 앞 삼거리
354	포르투갈 대사관 앞
355	서울사대부속초교 앞
356	KT혜화지사 앞
358	성대입구 사거리
359	원남동사거리
361	동묘앞역 1번출구 뒤
362	청계8가 사거리
363	신설동역 11번출구 뒤
364	창신역 1번출구 앞
367	독립문역 3-1번출구
368	SK 서린빌딩 앞
369	광화문 시민열린마당
370	시청역(2호선) 9번출구 뒤
371	동대입구역 6번출구 뒤
372	약수역 3번출구 뒤
373	청구 어린이공원
374	청구역 2번출구 앞
375	다산 어린이공원
378	청계7가 사거리
379	서울역9번출구
380	CJ제일제당 앞
381	장충체육관
382	약수역 10번출구 앞
383	신당역 12번 출구 뒤
384	종로학원본원
385	종각역 5번출구
387	훈련원공원주차장 앞
388	동성중학교 앞
389	을지로4가역 1번출구
390	충무로역 1번출구
391	정동길입구
393	동대문역 8번 출구
394	경희궁 자이 3단지
395	경희궁 자이 2단지
397	종묘공영주차장 건너편
398	을지로3가역 3번출구
399	서울역 센트럴 자이아파트
400	상암한화오벨리스크 1차 앞
401	상암월드컵파크 10단지 앞
402	상암월드컵파크 9단지 앞
403	부엉이공원 앞
405	DMC빌 앞
406	상암월드컵파크 7단지 앞
407	마포구 육아종합지원센터
408	LG CNS앞
409	누리꿈스퀘어 옆
410	상암중학교 옆
411	DMC홍보관
412	DMC산학협력연구센터 앞
413	상암월드컵파크 3단지 후문
414	상암동주민센터 옆
415	DMC역 9번출구 앞
416	상암월드컵파크 1단지 교차로
417	DMC역 2번출구 옆
418	월드컵경기장역 3번출구 옆
419	홈플러스 앞
420	서울시 공공자전거 상암센터
421	마포구청 앞
422	문화비축기지
424	롯데하이마트 (상암월드컵점)
425	DMC첨단산업센터
426	서울신용보증재단
427	성산시영아파트
428	명보사거리
429	송도병원
430	KEB하나은행 장충동지점
431	청계천 영도교
432	마포중앙도서관
433	을지로입구역 2번출구
434	신당 래미안 버스정류장
435	SK 남산빌딩
436	이대역 5번출구
437	대흥역 1번출구
438	성산2-1 공영주차장
439	마포어린이공원
440	하늘공원 입구
441	염천교사거리
442	서울역 서부
443	호암아트홀
446	상명대입구
447	신영동삼거리
449	일성아파트
450	효자동 삼거리
451	청와대앞길
452	동대문 종합시장 버스정류장
453	종로오가 지하쇼핑센터 14번출구
454	종로2가 버스정류장 (종각방향)
455	삼익한의원
456	숭인2동 주민센터 입구 (이강3대냉면)
457	종로꽃시장 입구 옆
458	광화문역 5번출구
461	서울지방경찰청
462	신영동삼거리(북악터널방향)
464	삼청동 골목
465	삼청공원 앞
466	롯데호텔
467	한국은행
468	웨스틴 조선호텔
469	회현역 1번출구
470	회현역 7번출구
471	회현사거리 남측
472	삼일교(시그니쳐 타워)
473	을지로4가역 9번출구
474	동대문역사문화공원역 1번출구 뒤편
475	DDP 패션몰
476	광희문
477	앰배서더 호텔 주변
479	동대입구역 3번 출구
480	약수역 6번 출구
481	신당역 10번 출구
482	예수소망교회
483	남산타운아파트 버스정류장
484	도동삼거리
486	평창동주민센터 앞
487	신석초교앞 교차로 교통섬
489	구룡근린공원
490	가온문화공원
491	월드컵파크 4단지
492	성산시영아파트 후문
493	홍대입구역 6번출구
494	신수동주민센터
495	염리초등학교 앞
497	합정동주민센터 앞
498	연남동주민센터 앞
500	어린이대공원역 3번출구 앞
501	광진구의회 앞
502	뚝섬유원지역 1번출구 앞
505	자양사거리 광진아크로텔 앞
506	금호 어울림 아파트 앞
507	성수아이에스비즈타워 앞
508	성수아카데미타워 앞
509	이마트 버스정류소 옆
510	서울숲 남문 버스정류소 옆
511	서울숲역 4번 출구 옆
512	뚝섬역 1번 출구 옆
513	뚝섬역 5번 출구 정류소 옆
514	성수사거리 버스정류장 앞
515	광양중학교 앞
516	광진메디칼 앞
518	청계천 박물관 앞
519	양지사거리
520	상왕십리역 4번 출구 앞
521	왕십리역 11번 출구 앞
522	금호역 1번출구 앞
523	옥수동성당 옆
524	래미안금호하이리버 아파트 102동 옆
525	한양대병원사거리
526	용답토속공원 앞
529	장한평역 8번 출구 앞
530	청계벽산아파트 앞
533	우리은행 금호동 지점 앞
534	금호사거리
535	응봉삼거리
536	행당역 2번출구 앞
537	한양대후문역 부근
538	답십리역 8번출구 앞
539	군자교교차로
540	군자역 7번출구 베스트샵 앞
542	강변역 4번출구 뒤
543	구의공원(테크노마트 앞)
544	광남중학교
546	잠실대교북단 교차로
548	자양나들목
549	아차산역 3번출구
550	서울시설공단 앞
551	구의삼성쉐르빌 앞
552	대림아크로리버 앞
553	중곡 성원APT 앞
555	구의3동주민센터
556	달맞이공원
557	도선동 주민센터 앞
558	성동광진 교육지원청 앞
559	왕십리역 4번 출구 건너편
560	비전교회 앞
561	서울숲역 2번출구 앞
562	군자지하보도 앞
563	성동세무서 건너편
564	금호역 3번출구
565	옥수역 3번출구
567	성수역 2번출구 앞
568	청계8가사거리 부근
569	응봉현대아파트 정류소
571	어린이대공원역6번출구
572	국립정신 건강센터 앞
573	구의문주차장 앞
574	아차산역4번출구
575	중앙농협 중곡지점
576	광나루역 3번 출구
577	광진청소년수련관
578	성동세무서 부근
579	마장역 4번출구
581	용답초등학교
582	경일중학교 앞
583	청계천 생태교실 앞
584	광진광장 교통섬
585	성수2가1동 공영주차장 인근
586	마장동 주민센터
587	유니베라 앞
588	뚝섬 유원지역
589	성수역3번출구
590	건국대학교 (입학정보관)
591	건국대학교 (행정관)
592	건국대학교 학생회관
593	자양중앙나들목
594	중랑물재생센터(서울새활용플라자)
600	휘경2동 주민센터
601	용신동주민센터
602	장안동 사거리
604	답십리초등학교 옆 공원
605	신설동역8번출구
606	휘경공고앞
607	신이문역 2번출구
608	전농삼성아파트
609	제기2교
610	동대문중 교차로
612	시립동부병원 앞 사거리
613	신설동역 10번출구 앞
614	용두동 사거리
615	용두동 래미안허브리츠아파트 앞
616	서울시립대 앞
617	청솔우성아파트 앞
621	동대문중학교 옆
622	전농사거리 교통섬
623	서울시립대 정문 앞
624	전농동 동아아파트 앞
625	답십리초등학교 앞(현대시장 옆)
626	군자교 서측 녹지대
627	장안동삼거리 교통섬
628	휘봉고등학교 앞
630	동대문구 보건소
631	답십리역 1번출구
633	청량리 기업은행 앞
634	외국어대 정문 앞
635	시조사 앞 (청량고정문 옆)
636	세종대왕기념관 교차로
637	KAIST 경영대학 앞
638	서울시립대 정보기술관
639	서울시립대 후문
640	KEB하나은행 청량리역지점
641	용두역 4번출구
642	신답역 사거리
643	동대문구민체육센터 (육교아래)
646	장한평역 1번출구 (국민은행앞)
647	신이문역 1번출구
648	장안동위더스빌옆
650	중랑교사거리
652	답십리 래미안엘파인아파트 입구
654	전농동 텃골공원
656	영휘원 교차로
657	동대문롯데캐슬아파트 앞
658	촬영소 사거리
659	제기역1번출구
660	동의보감타워
661	경희대학교 청운관
663	외대앞역 4번출구
664	서울시립대 대학본부
665	이문동 쌍용아파트 정문
666	이문대성유니드아파트 앞
667	청량차도 육교 밑
668	서울축산농협(장안지점)
669	청계한신휴플러스앞 삼거리
670	삼육서울병원 버스정류장
671	대광빌딩
672	대광고등학교
673	안암골벽산아파트(후문)
674	고대앞사거리 교통섬
675	성복교회 앞 (장평교 아래)
676	FITI시험연구원 앞
677	청량리역 4번 5번출구 사이
678	장안힐스테이트(아) 앞
679	전농SK아파트 앞
680	꿈마루어린이도서관 앞
681	서울특별시 동부교육지원청(육교)
700	KB국민은행 염창역 지점 앞
701	목동사거리 부근
702	목4동주민센터 옆
703	오목교역 7번출구 앞
704	남부법원검찰청 교차로
706	신정네거리역
707	신정3동주민센터
708	서울출입국관리사무소 앞
709	신정3동 현장민원실 앞
710	금옥여고보도육교
711	신일해피트리아파트 앞
712	강월초교입구 사거리
713	양서중학교 옆
714	한국SGI 양천문화회관 앞
716	신정6동 주민센터 인근
719	홍익병원앞 교차로
720	서울강월초등학교 앞
722	LG전자베스트샵 신정점
723	SBS방송국
724	계남공원 입구 주출입구 좌측
725	양강중학교앞 교차로
726	목동3단지 시내버스정류장
729	서부식자재마트 건너편
731	서울시 도로환경관리센터
732	신월동 이마트
733	신정이펜하우스314동
734	신트리공원 입구
735	영도초등학교
736	오솔길공원
737	장수공원
739	신월사거리
740	으뜸공원
741	화곡로 입구 교차로
742	등촌역 5번 출구 뒤
743	현대6차아파트 101동 옆
744	신목동역 2번 출구
745	강서초등학교
746	목동2단지 상가
747	목동3단지 상가
748	목동운동장
749	이대 목동병원 앞
750	연의근린공원 건너편
752	성원2차 아파트
754	목동1단지아파트 118동 앞 (월촌초등학교 정류소 옆)
755	목동1단지아파트 상가 앞 (월촌중학교 버스정류소 옆)
756	목동주차장
757	신정이펜하우스 1단지아파트 입구 사거리
758	한사랑교회 앞
759	보아스아파트 앞
760	잣절보도육교 아래
762	오목로 무중력지대 앞
763	목동11단지 아파트
764	목동청소년수련관
765	오목교역 3번출구
766	신목동역 3번출구
767	신정숲속마을아파트
768	목동5단지아파트 501동
769	CBS방송국 앞
770	목동역5번출구 교통정보센터 앞
771	목동아파트 703동 앞
773	염창역 3, 4번 출구 사이
774	등촌역 4번 출구
775	세종그랑시아 앞(102동)
776	목마공원
777	신월6차보람아파트 앞
779	양천나눔누리센터
780	신정교 하부
781	신정보도육교 아래
782	서남병원 후문
785	양천구청, 보건소 사잇길
786	목동아파트 8단지 상가동 앞
787	양천아파트 입구
788	양천구청역 2번출구 옆
790	화곡고가 사거리
791	현대하이페리온
792	목동트라팰리스 웨스턴에비뉴
793	목동5단지아파트 534동
794	양천문화회관
795	양천 해누리타운
796	목동아파트 14단지 B상가 앞
797	목동아파트 1422동 1434동 사잇길
800	목월공원 앞
802	한강진역 2번 출구 앞
803	한남초교 앞 보도육교
805	문배어린이공원 앞
806	전자랜드 본관 앞
807	서울역 12번 출구 앞
808	서빙고동 금호맨션 앞
809	한남 유수지 복개주차장
810	이태원지하보도
811	녹사평역1번출구
812	용산전쟁기념관
813	삼각지역 3번출구
815	LIG강촌아파트 103동앞
816	신용산역 6번출구 앞
817	삼각지역 4번출구 앞
818	숙명여대 입구 교차로
819	선린인터넷 고등학교
820	청파동입구 교차로
822	이촌1동 마을공원
823	효창동주민센터 앞
825	서빙고동 주민센터 앞
826	서울역 서부교차로2
827	국군복지단
828	숙대입구역 8번
829	베르가모앞
830	청암자이아파트앞
831	이태원관광특구입구
832	이촌1동 주민센터 뒤
834	효창공원앞역 3번출구 뒤
835	남영역 건너편
836	현대자동차서비스 앞
837	한남나들목 입구
838	숙대입구역 4번출구
839	보광동 삼성리버빌아파트 앞
840	용산 파크타워 앞
841	신용산역 1번 출구
843	녹사평역 광장
844	이촌2동 동원베네스트 아파트 앞
845	용산 선인상가
846	용산중학교
847	국방부민원실옆
848	삼각지12번 출구
849	삼각지 자이아파트
850	KCC용산월츠타워
851	효창 푸르지오 앞
852	청암자이APT(103동)
853	용산역 맞은편
854	HID 유족동지회 앞
855	이촌역5번출구 앞
857	현대 안성타워
858	녹사평역3번 출구
859	남산공원 야외식물원 앞
860	LG한강 자이아파트 앞
863	이촌역2번 출구
864	순천향대학병원(한남오거리)
865	하얏트호텔 앞
866	브라운스톤 남산아파트
867	서빙고역 광장(1번출구)
868	롯데하이마트 용산점 앞
869	노들섬 동측 앞
870	노들섬 서측 앞
900	은평예술회관
901	응암1동사무소
902	진관동 은빛초등학교
903	은평뉴타운 아이파크
904	은평뉴타운 푸르지오
905	구파발역 2번출구
906	연신내역 5번출구150M 아래
907	CJ 드림시티
908	구산역 4번출구
909	백련산 힐스테이트 3차
911	은평평화공원(역촌역4번출구)
912	응암오거리
913	이마트 은평점
914	새절역 2번출구
915	증산역 4번출구
916	평생학습관 앞
917	녹번역 4번출구
919	서울혁신파크
921	신도고등학교
922	연신내역 4번출구
923	국민은행 연서지점
924	메뚜기다리
925	불광역 2번출구
927	연신내역 3번출구 인근
928	은평역사한옥박물관
930	구 서부경찰서 건너편
931	역촌파출소
932	예일여중
933	LG서비스 역촌점
934	신사동 성당
937	상림마을 롯데캐슬2단지 옆
938	금암 문화공원
939	은평구청 교차로
941	은평뉴타운 도서관
942	상림마을 생태공원
943	은평구청 보건소
945	기자촌 사거리
946	독바위역
947	연신내 선일하이츠빌 정류소
948	디지털미디어 시티역 4번출구(DMC역)
949	연신내역 1번 출구
950	구산역 2번 출구
952	서울연신중학교
953	서울연신초등학교
954	은평뉴타운구파발9단지
956	응암시장교차로
958	신한은행 응암동 지점 앞
959	구파발10단지 인근
960	구파발역 환승센터
961	불광역 9번 출구
962	은평뉴타운 힐데스하임
963	대호프라자아파트
964	북한산힐스테이트 7차아파트
965	서울특별시 은평병원
966	서울혁신파크1
967	서울혁신파크2
968	은평뉴타운 상림마을 13단지
969	은평 지웰테라스
971	역촌 센트레빌 아파트
972	수색역
973	제각말푸르지오 5-1단지 아파트
974	연신초등학교옆 마을마당
975	백련산 힐스테이트상가앞
976	진관고등학교앞
977	신도중학교앞
978	녹번 힐스테이트상가앞
979	원풍빌라앞
982	유니클로 은평점앞
984	상신초등학교앞 버스정류장
985	은평온누리약국앞
989	응암 꼬꼬닭치킨호프 앞
991	흥국사 정류장
992	북한산입구 정류장
993	은평뉴타운 온뜨락아파트앞
994	북한산생태공원입구(교통섬)
995	은평다목적체육관
996	응암역 1번출구
1001	광진교 남단 사거리(디지털프라자앞)
1002	해공공원(천호동)
1003	해공도서관앞
1004	삼성광나루아파트 버스정류장
1006	롯데캐슬 115동앞
1007	암사동 선사유적지
1008	암사역 3번출구(국민은행앞)
1009	천호역4번출구(현대백화점)
1010	강동세무서
1011	LIGA 아파트 앞
1012	서울 상운차량
1013	강동구청역 1번 출입구
1014	강동구평생학습관앞
1015	샛마을 근린공원
1016	해뜨는 주유소옆 리엔파크 109동앞
1017	맥도날드(길동)
1018	둔촌 주공 GS 맞은편
1019	다성이즈빌아파트(호원대 대각선 맞은편)
1020	강동경찰서
1021	강일동 리슈빌 빌딩앞
1022	길동 사거리(초소앞)
1023	한국종합기술사옥 앞
1024	강동구청 앞
1025	상일초등학교
1026	대명초교 입구 교차로
1027	프라자 아파트 앞
1028	포레스 주상복합 빌딩
1029	롯데 시네마
1030	미호 플랜트 앞
1031	올림픽로 836(아리수로)
1032	선사고등학교
1033	고덕동 아남아파트
1034	고덕동 래미안 힐스테이트
1035	고덕역 4번출구
1036	고덕동 주양쇼핑
1037	강일리버파크 6단지
1038	강일 다솜 어린이 공원
1039	고덕초등학교
1041	묘곡초등학교
1042	강일리버파크 2~5단지
1044	굽은다리역
1047	건강보험 강동지사kt
1048	동부기업(둔촌동)
1049	강일리버파크 10단지
1050	둔촌역 3번 출입구
1051	양지시장 (용성약국앞) 입구
1052	리싸이클시티
1053	동명근린공원 진입로 (아리수로)
1054	말우물 어린이 공원
1056	강일리버파크 7~11단지
1057	능골근린공원
1058	고덕숲 아이파크 1
1059	래미안 강동팰리스(102동)
1060	천일초교 사거리
1061	천호초교 입구 사거리(일주빌딩)
1062	고덕숲 아이파크 2
1063	강동롯데캐슬퍼스트 아파트(관리동)
1064	중앙보훈병원역 1번출구
1065	보훈병원 정문옆(중앙대영약국)
1066	생태공원앞 교차로(조명탑)
1067	한영중고앞사거리
1068	명일파출소
1069	강동경희대학교병원 입구
1070	(시립)고덕평생학습관
1071	명일근린공원공동체텃밭
1072	고덕역 5번출구
1073	SSTS 몰 앞
1074	대명초교입구 사거리
1075	천동초교 삼거리
1076	전자랜드 길동점
1077	강동역 1번출구 앞
1078	둔촌사거리
1079	강일동입구교차로
1080	엘웨딩
1081	트레빌빌딩
1082	중앙보훈병원역3번출구
1083	광문고교사거리(아이파크)
1084	윤선생빌딩(JYP사옥)
1085	래미안 솔베뉴(고덕로)
1086	래미안 솔베뉴(구천면로)
1088	풍납사거리(강동)
1089	고덕 래미안힐스테이트(201동)
1090	상일동역 2번출구 앞
1101	개화동상사마을종점 버스정류장
1102	방화사거리 마을버스 버스정류장
1103	방화역 4번출구앞
1105	방화근린공원
1106	신방화사거리
1108	공항시장역 2번출구 뒤
1109	공항시장역 4번출구
1110	공항중학교앞
1111	마곡엠밸리6_7단지 마곡중학교
1112	마곡엠밸리4단지 정문
1113	서남환경공원 버스정류장
1115	등촌역 1번출구옆
1117	스타벅스앞
1118	증미역 3번출구뒤(등촌두산위브센티움오피스텔)
1119	염창동 한마음아파트앞(염창동 빛나는 음악학원앞)
1120	대림경동아파트앞
1121	가양레포츠센터앞
1122	황금내근린공원
1124	발산역 6번 출구 뒤
1125	명덕고교입구(영종빌딩)
1126	우장산역 1번출구옆(우장산아이파크105동앞)
1127	화곡역(에이스정형외과앞) 버스정류장
1128	화곡역 6번출구
1129	화곡역 1번 출구 앞
1130	화곡본동시장 버스정류장
1131	꿈돌이공원 앞
1132	등촌역 7번출구
1135	강서구의회
1136	등촌2파출소
1137	등촌2동주민센터
1139	용문사 버스정류장
1140	목동사거리 버스정류장
1141	곰달래 문화복지센터 1-1
1145	곰달래 문화복지센터 1-2
1146	곰달래사거리
1148	볏골공원
1149	신방화역환승주차장
1150	송정역 1번출구
1151	마곡역1번출구
1152	마곡역교차로
1153	발산역 1번, 9번 인근 대여소
1155	기쁜우리복지관
1157	강서구청
1158	가양역 8번출구
1159	서서울모터리움앞
1160	양천향교역 7번출구앞
1161	강서면허시험장앞
1162	공항초등학교건너편
1163	방화동강서기동대앞
1165	마곡중학교 후문
1166	강서구립등빛도서관
1167	마곡수명산파크3단지 교차로
1168	마곡엠밸리10단지 앞
1169	염창역 1번 출구
1170	강서구보건소 (삼성디지털 프라자)
1171	염창동 새마을금고 건너편 (모닝글로리)
1172	가양3동 주민센터
1173	강서구청사거리(SH타워)
1174	강서구청사거리(부민병원)
1175	대한항공 인력개발센터
1177	수명중고교
1178	개화산역 2번 출구
1180	마곡엠밸리 15단지(1502동) 건너편
1181	농수산식품공사 (강서지사)
1182	KBS 스포츠월드
1183	KC 대학교
1184	마곡13단지
1185	등촌9단지
1186	송정중학교
1187	강서수산물도매시장
1188	롯데중앙연구소
1190	마곡역 교차로(2번출구)
1191	마곡역 교차로(NH농협)
1192	마곡수명산파크 209동 건너편
1193	마곡센트럴타워 1차
1194	센서텍㈜
1195	코오롱One&Only타워
1196	서울식물원(문화센터) 건너편
1197	엠펠리체 호텔 건너편
1198	LG 사이언스파크
1199	우장산역 3번출구
1200	개화광역환승센터
1201	가락시장역 3번 출구
1203	밀리아나2빌딩 앞
1204	거여역 3번출구
1205	종합운동장역 4번출구
1206	9호선종합운동장역 9번출구
1207	마천CU우방점 앞
1208	풍납현대아파트쉼터
1209	잠실나루역 (2번 출구 쪽)
1210	롯데월드타워(잠실역2번출구 쪽)
1211	방이삼거리
1212	송파역 2번 출구앞
1213	백토공원 앞
1214	오금역 7번 출구 인근
1215	올림픽공원역 1번출구 앞
1217	송파파인타운 7단지
1218	방이역 4번출구
1220	잠실본동주민센터뒤 잠실근린공원
1221	삼전사거리 포스코더샵
1222	잠실새내역 5번 출구 뒤
1224	아시아지하보도 2번 출구
1226	잠실4동 주민센터 옆
1227	거여역 8번출구 뒤
1228	마천사거리
1229	송파체육문화회관 앞
1230	송파중학교 정문
1231	잠실역 6번출구
1232	롯데마트 주차장 옆
1233	잠실3거리(갤러리아팰리스)
1235	잠실트리지움310동 옆
1239	문정 법조단지3
1240	문정 법조단지4
1241	문정 법조단지5
1242	문정 법조단지6
1243	문정 법조단지7
1244	문정 법조단지8
1245	문정 법조단지9
1246	문정 법조단지10
1247	문정 법조단지11
1248	방이초등학교
1249	아주중학교건너편
1250	문정2동 주민센터
1251	석촌역 2번출구
1253	오금역 3번 출구 뒤
1256	문정현대아파트 교차로
1257	가락시장역 롯데마트앞
1258	가락미륭아파트 앞
1259	방이역 1번출구
1260	방이동 한양3차아파트 옆
1262	송파여성문화회관 앞
1263	장지공영차고지
1264	천호역 10번 출구 앞
1265	문정동 근린공원
1266	문정동 글샘 공원
1267	올림픽공원 남2문 앞
1268	몽촌토성역 1번출구 옆
1269	리센츠아파트
1271	송파도서관
1274	영파여고 앞
1275	거여초등학교 옆
1277	오금동 송파 참병원
1278	송파구청 교차로
1279	마천금호어울림 1차아파트 건너편
1280	송파파크데일 2단지입구 앞 주차장
1282	송파소방서 맞은편(성내4교)
1283	오금공원 사거리
1285	위례별 유치원 뒤
1286	위례중앙푸르지오 1단지 앞
1287	위례아이파크 101동 맞은편
1288	문정중교 사거리
1289	풍납동 자전거보관소
1290	위례송파꿈에그린아파트24단지 앞 성벽 다리 밑
1291	서울체육고등학교 앞
1293	석촌호교차로 (스타벅스 앞)
1295	잠실역 8번출구
1296	석촌호수교차로 (송파나루근린공원 앞)
1297	석촌호수교차로(동호 팔각정 앞)
1299	송파소방서 (방이119안전센터)
1300	오륜사거리
1302	한성대입구역6번출구 뒤
1303	돈암초교 입구
1304	만해공원
1305	성북구청
1306	한성대입구역2번출구
1308	안암로터리 버스정류장 앞
1314	정릉꿈에그린1단지 201동 앞
1315	고려사대부속중고 정문
1316	고려사대부속중고 건너편
1318	길음역 3번출구 뒤
1320	LG베스트샵 종암점
1321	국민은행 종암동지점 앞
1322	래미안라센트아파트 103동 앞
1323	월곡역 입구 육교 밑
1325	상월곡역 4번출구
1326	상월곡역 1번출구
1327	상월곡역 3번출구
1328	월곡역 3번출구
1332	석계역 5번출구 건너편
1333	석관초등학교 앞
1334	석관동주민센터 앞
1336	성북3교 위
1337	돈암성당 옆
1338	용문2교 옆
1339	삼성전자서비스 성북센터
1340	광운초등학교 앞
1342	성북쉼터 앞
1343	한성대7번출구 앞
1344	아리랑시네센터 앞
1346	길음8골어린이공원 옆
1347	길음래미안아파트817동 상가 앞
1348	성북제일새마을금고 본점 앞
1349	월계2교 버스정류장 앞
1351	안암2교 옆
1352	e 편한세상 보문아파트 내
1353	금호어울림센터힐 내
1354	고려대학교 2번출구
1355	보문2교
