rent_station	return_station	num_trips
680	680	85
412	415	85
231	230	85
1937	1937	85
602	602	85
2525	2525	85
2611	1274	85
284	263	85
2324	2324	85
2217	2219	85
754	754	85
419	419	85
457	457	84
178	194	84
3010	116	84
793	765	84
786	786	84
207	221	84
567	3571	84
1112	1112	84
648	648	84
1437	1437	84
1752	1721	84
2219	2217	83
1173	1173	83
1851	1805	83
166	166	83
648	602	83
2728	2717	83
3513	568	83
3509	3509	83
796	796	83
259	226	83
3533	588	83
1450	1450	83
1090	1023	83
2228	2264	83
2715	1113	83
1656	1673	82
1911	2801	82
1251	2620	82
2373	2373	82
1019	1019	82
610	631	82
2715	2720	82
1977	1981	82
1002	1009	82
207	218	82
1955	1955	82
1308	659	82
1009	1008	82
1050	1050	81
2177	1911	81
2066	2066	81
217	211	81
943	943	81
771	771	81
1262	1210	81
735	744	81
1533	1533	81
175	117	81
1084	1050	81
222	224	81
1308	1354	81
576	551	81
394	367	81
2384	2377	80
3541	3541	80
601	601	80
367	394	80
2615	2629	80
2620	1262	80
2264	2264	80
1048	1048	80
1548	1548	80
2629	2629	80
1011	1011	80
217	217	80
785	785	80
194	178	80
509	585	80
3571	3571	80
501	501	80
1610	1610	80
913	907	80
1382	1328	80
1695	1695	79
2176	2177	79
2372	2372	79
493	493	79
1118	1158	79
211	217	79
263	230	79
178	178	79
3518	3509	79
2264	2220	79
996	931	79
107	107	78
2015	2015	78
832	815	78
185	185	78
1697	1673	78
1380	1380	78
1914	1914	78
1851	1808	78
1952	1952	78
2733	2733	78
2701	1191	78
1222	2645	78
3536	3533	77
1167	2701	77
183	3010	77
1625	1653	77
162	140	77
210	274	77
203	202	77
283	230	77
1907	1908	77
361	361	77
1960	1961	77
2173	2109	77
276	276	77
2647	2601	77
2231	2231	77
1354	1308	77
291	291	77
704	704	77
1741	1741	77
765	748	76
387	387	76
498	498	76
1160	1153	76
3533	3533	76
2701	1190	76
950	906	76
1113	2715	76
602	648	76
230	263	76
2109	2189	76
1354	1354	76
228	227	76
1830	1848	76
2315	2316	76
154	152	76
1112	1151	75
941	905	75
1636	1636	75
2170	2177	75
1851	1907	75
1936	2820	75
1152	2715	75
262	240	75
701	770	75
2629	2615	75
1721	1708	75
3535	3500	75
2050	2013	75
2294	2294	75
1351	1351	74
1911	2177	74
401	401	74
2050	2007	74
280	268	74
574	3535	74
116	3010	74
1002	1002	74
2086	2032	74
2910	2910	74
439	144	74
3215	3215	74
502	3536	74
2901	2901	74
1841	1867	74
1001	1008	74
612	612	74
1655	1616	74
2177	2103	74
3570	3570	73
1327	1327	73
1977	3906	73
2102	2177	73
2540	2213	73
279	3219	73
1158	1174	73
915	915	73
1078	2622	73
2701	1167	73
1531	1501	73
786	770	73
1210	1293	73
211	218	72
212	206	72
1226	1226	72
1193	1153	72
3310	2169	72
1022	1050	72
1390	647	72
1908	1907	72
217	207	72
1191	2715	72
497	497	72
243	230	72
126	126	72
1027	1027	72
2405	2348	72
2619	2619	72
1344	1384	72
1004	1004	72
2279	2279	72
1182	1124	72
1721	1752	71
2412	2412	71
1697	1697	71
1224	1224	71
1737	1569	71
735	735	71
1961	1960	71
431	378	71
103	103	71
1153	1160	71
375	375	71
2108	2109	71
834	800	71
2620	1251	71
722	770	71
2915	2915	71
165	179	71
1848	1833	71
1286	1286	71
2183	2177	71
3520	500	71
2377	2377	71
576	3528	71
2921	2904	71
2247	2255	70
659	659	70
378	431	70
166	179	70
567	578	70
1167	1184	70
2177	2176	70
254	254	70
268	268	70
3511	565	70
770	722	70
1985	1914	70
1333	1327	69
3514	3514	69
3549	3549	69
2377	2384	69
3520	3520	69
277	277	69
2728	1191	69
284	284	69
2205	2202	69
3421	4711	69
551	576	69
278	1961	69
1912	1975	69
1117	1124	69
227	228	69
907	906	69
768	768	69
906	907	69
2720	2720	69
943	907	69
945	905	69
2259	2259	69
565	3511	69
1162	1151	69
364	361	69
2715	1152	69
748	765	69
245	280	69
2601	1210	69
1277	1277	68
3504	3569	68
2701	2733	68
3536	502	68
1707	1721	68
1688	2913	68
582	561	68
657	657	68
1721	1707	68
1163	1149	68
3549	3518	68
1124	1182	68
362	362	68
1610	1684	68
176	176	68
1125	1125	68
623	639	68
1124	1117	68
2177	2113	68
1180	1180	68
3569	592	68
1190	2701	68
1737	1737	68
3010	3119	68
2601	2647	68
2007	2050	67
1248	1248	67
117	188	67
2228	2230	67
1125	1124	67
2733	1152	67
2255	2255	67
1226	1209	67
308	311	67
2105	2177	67
588	3533	67
262	230	67
507	567	67
1977	1952	67
165	165	67
1065	1027	67
4711	3421	67
220	259	67
726	770	67
2255	2247	67
1375	1375	67
2359	2359	67
256	3219	67
2620	2620	67
2701	1193	67
2177	2102	67
1158	1173	66
589	3541	66
1449	1404	66
3501	3520	66
973	905	66
2231	2279	66
1473	1473	66
574	3517	66
870	870	66
511	511	66
2373	2431	66
647	1390	66
3119	3010	66
2012	2012	66
744	744	66
455	455	66
1514	1514	66
162	134	66
1427	1444	66
1322	1321	66
1804	1808	66
2913	1688	65
1168	2701	65
1401	1401	65
2915	2914	65
2206	2202	65
2701	2719	65
157	157	65
2737	1146	65
383	383	65
1981	1977	65
1010	1010	65
853	829	65
263	240	65
229	229	65
1953	1952	65
1848	1830	65
586	586	65
1177	1152	65
1056	1056	65
284	262	65
1361	1361	65
643	646	65
3211	3211	65
1414	1437	65
2804	2804	65
1221	1221	65
1448	1455	65
230	288	64
1152	2733	64
1668	1668	64
2220	2264	64
744	735	64
1227	2606	64
213	274	64
3579	3579	64
2245	2245	64
218	211	64
1826	1827	64
263	284	64
125	126	64
502	3506	64
3536	3536	64
390	390	64
1656	1656	64
1667	1667	64
263	1906	64
795	770	64
1009	1002	64
2715	1191	64
1956	1956	64
2105	2106	64
1993	1941	64
236	263	64
589	3506	64
1742	1742	64
2709	2709	64
844	844	63
1184	1152	63
240	262	63
529	526	63
3513	557	63
1157	1157	63
257	218	63
2113	2113	63
560	560	63
2183	1911	63
3501	3569	63
1663	1601	63
568	378	63
1721	1721	63
1151	1112	63
1601	1601	63
581	581	63
1354	1321	63
1674	1674	63
1530	1530	63
702	770	63
2316	2315	63
340	340	63
678	678	63
1020	1020	63
144	439	63
1023	1023	63
2002	2076	63
1414	1414	63
2717	2728	63
958	911	63
1158	1172	63
1908	1957	63
1112	2715	63
2646	2646	63
1017	1017	63
1688	1688	63
2136	2136	62
2745	1152	62
2177	2183	62
1131	1157	62
3571	589	62
908	906	62
634	680	62
1050	1011	62
796	703	62
1805	1851	62
345	345	62
3550	3550	62
3214	3214	62
258	258	62
2107	2135	62
109	109	62
1332	1332	62
1362	1362	62
1442	1442	62
549	3542	62
979	914	62
1856	1856	62
1867	1841	62
1354	1372	62
320	320	62
3422	341	62
1444	1444	62
1402	1455	61
202	210	61
268	228	61
3422	337	61
308	385	61
1611	1608	61
3780	3780	61
184	107	61
3541	509	61
702	702	61
2746	1152	61
1686	1653	61
2250	2250	61
1716	1716	61
1512	1503	61
1637	1637	61
746	726	61
122	122	61
219	217	61
2717	2715	61
2314	2314	61
1911	2183	61
615	615	61
853	853	61
2708	1155	61
1174	1158	61
1146	1146	61
1308	614	61
3504	3533	61
263	236	61
370	370	61
1321	1354	60
1327	1333	60
3011	3011	60
1152	2745	60
770	770	60
262	284	60
1953	2819	60
770	708	60
587	587	60
228	267	60
933	933	60
1673	1673	60
224	222	60
1608	1616	60
1363	1337	60
635	635	60
1306	1306	60
102	184	60
1804	1804	60
646	678	60
207	217	60
770	726	60
1809	1851	60
1153	1166	60
2106	2102	60
1262	1262	60
487	146	60
650	650	60
2067	2067	60
1743	1743	60
263	291	60
2904	2921	60
2431	2431	60
1351	1308	60
101	101	59
146	487	59
2059	2059	59
1390	1390	59
614	1308	59
3581	563	59
3569	505	59
933	906	59
184	102	59
3525	3525	59
1721	1702	59
677	630	59
316	316	59
906	933	59
2106	2106	59
905	905	59
152	154	59
573	500	59
1152	1193	59
1636	1653	59
542	551	59
102	107	59
1074	1044	59
588	588	59
207	249	59
2333	2327	59
240	263	59
287	287	59
144	146	59
2639	2623	59
3575	546	59
1191	2701	59
3534	3534	59
551	542	59
1117	1182	59
1986	1911	59
1851	1806	59
1961	278	59
1019	1013	59
1529	1529	59
2719	2701	59
2176	1911	59
2262	2219	59
398	398	58
2701	1113	58
971	996	58
2071	2032	58
2242	2252	58
1209	2656	58
245	245	58
274	276	58
2308	2308	58
1337	1337	58
1184	1167	58
911	907	58
1195	2728	58
134	134	58
258	274	58
642	631	58
623	623	58
631	610	58
1906	1911	58
117	123	58
243	262	58
316	369	58
1605	1605	58
1636	1673	58
864	809	58
3500	3517	58
2115	1955	58
931	996	58
232	243	58
2000	2000	58
157	156	58
763	763	58
1262	2620	58
2530	2530	58
723	726	58
1666	1666	58
2056	2056	58
2339	2335	58
1767	1767	58
1322	1354	58
3500	539	58
2106	2105	58
1293	1210	57
1308	1363	57
2102	2173	57
2728	1190	57
450	302	57
1349	1349	57
1677	1677	57
758	758	57
3552	3552	57
2113	2102	57
1986	1986	57
1293	1293	57
624	624	57
1503	1503	57
747	747	57
1044	1076	57
1194	2728	57
765	702	57
2177	2173	57
605	605	57
906	908	57
1998	1998	57
286	286	57
237	237	57
764	765	57
302	302	57
154	497	57
2108	2108	57
2902	2902	57
3215	247	57
3501	3501	57
703	795	57
2037	2037	57
1372	1354	57
1682	1682	57
1941	1993	57
1153	2715	57
1155	1160	57
512	512	57
948	169	57
722	722	57
943	917	57
2173	2177	57
354	354	57
140	128	57
1168	1168	57
3528	3528	57
3517	3517	57
755	754	57
770	701	57
2720	2715	57
1531	1531	57
1530	1503	57
1957	1908	56
1601	1663	56
106	109	56
502	583	56
2136	2137	56
250	2063	56
2222	2511	56
1210	2601	56
1124	1124	56
1557	1557	56
2202	2205	56
765	793	56
626	626	56
773	773	56
1462	1462	56
2032	2060	56
1355	1362	56
1381	1381	56
289	289	56
2917	2917	56
497	151	56
1519	1519	56
1153	1195	56
746	735	56
218	257	56
3541	589	56
1149	1152	56
3569	3501	56
1531	1515	56
342	342	56
1957	1957	56
907	131	56
630	677	56
1738	1743	56
1911	1906	56
1191	2728	56
1608	2915	56
1931	1930	55
578	567	55
630	660	55
3904	1985	55
258	210	55
2140	2102	55
3010	183	55
931	906	55
409	401	55
627	602	55
1235	1235	55
2145	2136	55
2538	2538	55
3535	3535	55
1983	1983	55
1021	1090	55
264	264	55
1834	1834	55
1184	1193	55
2714	2714	55
211	211	55
232	247	55
2136	2183	55
437	437	55
2619	1210	55
3569	3523	55
1619	1619	55
1901	1901	55
505	505	55
1639	1639	55
2715	2733	55
1684	1610	55
1243	1243	55
274	258	55
374	374	55
1686	1662	55
809	864	55
1684	1684	55
2274	2294	55
277	265	55
1930	1931	55
3212	3212	55
421	421	54
839	839	54
153	154	54
102	3009	54
1328	1328	54
157	426	54
292	3219	54
1659	1659	54
1210	2623	54
2013	2015	54
3571	508	54
2173	2136	54
906	931	54
2219	2262	54
1906	1901	54
305	305	54
1346	1367	54
1295	1295	54
2656	2656	54
707	779	54
1210	1297	54
1650	1673	54
316	303	54
500	592	54
114	116	54
274	210	54
154	103	54
209	209	54
1653	1686	54
2641	1210	54
584	563	54
2921	1619	54
1162	1162	54
210	276	54
795	703	54
1527	1529	54
225	225	54
794	770	54
283	274	54
3417	361	54
1169	1171	54
1640	1640	54
2247	2252	54
1966	1966	54
914	913	54
1274	2611	54
3504	3504	54
1008	1009	54
2638	2638	54
1124	1125	54
1333	1333	53
1912	1912	53
2252	2294	53
1911	2176	53
274	274	53
1172	1172	53
1924	1911	53
219	259	53
500	573	53
2058	2058	53
768	756	53
1337	1363	53
162	128	53
1047	1047	53
745	745	53
259	217	53
956	914	53
213	210	53
2246	2246	53
1028	1028	53
2621	1226	53
2715	1184	53
111	111	53
3205	230	53
708	708	53
509	561	53
1833	1812	53
225	259	53
1166	2708	53
230	3205	53
2508	2508	53
2302	2302	53
1725	1721	53
779	779	53
2002	853	53
729	703	53
497	103	53
963	900	53
131	907	53
1153	1152	53
704	785	53
267	228	53
1117	1153	53
1515	1531	53
2704	1173	53
2720	1153	53
770	703	52
418	907	52
3542	500	52
223	222	52
791	791	52
770	702	52
716	770	52
1084	1084	52
765	792	52
2136	2173	52
763	788	52
507	507	52
1634	1634	52
1321	1322	52
2054	2058	52
1322	1322	52
589	3571	52
1616	1655	52
2102	2170	52
2102	2140	52
1762	1762	52
1328	1382	52
2701	1195	52
1336	1336	52
287	245	52
1308	1351	52
674	1321	52
1158	1166	52
1117	1117	52
947	949	52
1673	1636	52
1447	1452	52
513	513	52
2727	2727	52
1103	1103	52
2106	2177	52
1010	1050	52
2299	2299	52
592	3569	52
726	719	52
1150	1184	52
3506	589	52
1151	1162	52
385	308	52
2244	2244	52
568	1355	52
576	576	52
3533	3536	52
151	154	52
2251	2251	52
719	731	52
546	3575	52
960	903	51
247	230	51
262	243	51
917	943	51
3905	1961	51
1683	1625	51
1320	1354	51
1170	1169	51
203	203	51
2909	2909	51
362	378	51
1901	1906	51
525	525	51
2189	2109	51
700	700	51
1931	1925	51
3559	3559	51
1029	1028	51
2054	2054	51
585	509	51
1975	1912	51
230	283	51
602	625	51
1211	1211	51
1394	1318	51
562	3518	51
426	426	51
210	214	51
2721	1160	51
3535	3502	51
913	914	51
1336	1355	51
1643	1643	51
1288	2628	51
207	210	51
1158	2708	51
1974	1974	51
1002	1001	51
156	157	51
1155	2708	51
247	290	51
2113	2177	51
336	336	51
346	346	51
2335	2335	51
3536	3501	51
1195	1153	51
1153	1193	51
1806	1851	51
1985	1961	51
916	916	50
1933	1933	50
3206	263	50
1606	1606	50
213	203	50
1616	1636	50
792	765	50
1210	2621	50
4711	4711	50
1452	1447	50
1929	1929	50
573	3579	50
2007	2007	50
1906	780	50
2015	2009	50
509	3541	50
1050	1020	50
3505	502	50
950	950	50
2016	2016	50
143	143	50
788	788	50
268	280	50
614	614	50
769	769	50
1244	1244	50
508	508	50
1673	1656	50
2908	1601	50
1152	2746	50
1372	1321	50
1120	1158	50
334	334	50
2060	2060	50
1911	2140	50
3416	346	50
1750	1750	50
1734	1721	50
514	589	50
740	740	50
1153	1153	50
962	904	50
735	769	50
1268	2621	50
3115	3104	50
311	311	50
1102	1102	50
1382	1382	50
427	427	50
1044	1050	50
582	582	50
2115	1911	50
2621	2622	50
2715	1153	50
704	779	50
1854	1911	50
805	805	50
703	796	50
